,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01427,JOHN PAUL COLLEGE,C,FRANKSTON NORTH,144,117,76,41,17,17,8,16,1,0
13409,KAMBRYA COLLEGE,G,BERWICK - SOUTH,141,135,103,38,4,17,16,18,6,1
01905,KARDINIA INTERNATIONAL COLLEGE,I,NORTH GEELONG - BELL PARK,199,192,126,76,13,4,2,5,1,0
01038,KERANG TECHNICAL HIGH SCHOOL,G,KERANG,27,27,21,33,14,10,29,5,10,0
01373,KEW HIGH SCHOOL,G,KEW EAST,144,127,94,64,13,11,3,6,3,0
01040,KEYSBOROUGH SECONDARY COLLEGE,G,KEYSBOROUGH,79,61,54,43,11,22,13,7,2,2
01367,KEYSBOROUGH SECONDARY COLLEGE,G,SPRINGVALE SOUTH,117,97,83,47,10,24,6,7,5,1
01316,KILBREDA COLLEGE,C,MENTONE,145,127,80,84,3,8,3,3,1,0
01212,KILLESTER COLLEGE,C,SPRINGVALE,127,110,79,77,3,16,1,1,0,1
01110,KILVINGTON GRAMMAR SCHOOL,I,ORMOND - GLEN HUNTLY,41,29,27,85,0,4,7,0,0,4
01059,KINGSWOOD COLLEGE,I,BOX HILL,44,35,23,57,17,22,0,4,0,0
14564,KOLBE CATHOLIC COLLEGE,C,GREENVALE - BULLA,139,134,70,53,3,27,3,14,0,0
01351,KOO WEE RUP SECONDARY COLLEGE,G,KOO WEE RUP,122,96,69,29,7,19,17,19,6,3
01009,KOROWA ANGLICAN GIRLS' SCHOOL,I,MALVERN - GLEN IRIS,75,49,31,94,3,0,0,0,3,0
01691,KURNAI COLLEGE,G,CHURCHILL,148,146,105,38,5,10,16,21,7,4
01754,KURUNJANG SECONDARY COLLEGE,G,MELTON,80,62,34,24,15,15,15,26,6,0
01141,KYABRAM P-12 COLLEGE,G,KYABRAM,60,60,37,35,8,8,19,22,8,0
01043,KYNETON SECONDARY COLLEGE,G,KYNETON,80,53,32,19,22,19,6,28,3,3
11799,LAKES ENTRANCE SECONDARY COLLEGE,G,LAKES ENTRANCE,22,22,16,13,19,13,19,38,0,0
14402,LAKESIDE COLLEGE,I,PAKENHAM - SOUTH,20,17,11,55,9,27,9,0,0,0
01163,LALOR NORTH SECONDARY COLLEGE,G,EPPING,61,61,44,43,7,23,11,9,7,0
01217,LALOR SECONDARY COLLEGE,G,LALOR,118,106,81,60,1,20,4,9,6,0
13732,LARA SECONDARY COLLEGE,G,LARA,93,66,44,34,14,11,16,14,11,0
01479,LAURISTON GIRLS' SCHOOL,I,ARMADALE,122,97,50,88,8,2,0,0,2,0
01222,LAVALLA CATHOLIC COLLEGE,C,TRARALGON,133,91,57,53,16,9,11,11,2,0
01302,LAVERTON P-12 COLLEGE,G,LAVERTON,57,56,39,26,13,21,15,15,5,5
01622,LILYDALE HEIGHTS COLLEGE,G,LILYDALE - COLDSTREAM,75,70,50,24,2,30,14,20,6,4
01096,LILYDALE HIGH SCHOOL,G,LILYDALE - COLDSTREAM,226,226,167,30,11,17,19,19,2,1
01426,LORETO COLLEGE,C,BALLARAT,127,123,79,65,18,8,3,6,1,0
01424,LORETO MANDEVILLE HALL,C,TOORAK,125,123,74,82,9,5,1,1,0,0
01265,LOWANNA COLLEGE,G,MOE - NEWBOROUGH,96,96,67,28,12,10,19,18,10,1
01374,LOWTHER HALL ANGLICAN GRAMMAR SCHOOL,I,ESSENDON - ABERFELDIE,71,71,53,92,6,2,0,0,0,0
01577,LOYOLA COLLEGE,C,WATSONIA,221,169,105,61,7,14,11,6,1,0
01320,LUTHER COLLEGE,I,CROYDON HILLS - WARRANWOOD,191,181,115,61,16,12,4,6,1,0
01599,LYNDHURST SECONDARY COLLEGE,G,CRANBOURNE NORTH,97,60,43,35,5,16,7,28,7,2
01563,MACKILLOP CATHOLIC REGIONAL COLLEGE,C,WERRIBEE - SOUTH,234,180,104,55,4,13,10,17,1,0
01366,MACROBERTSON GIRLS HIGH SCHOOL,G,ALBERT PARK,235,121,99,90,8,2,0,0,0,0
01307,MAFFRA SECONDARY COLLEGE,G,MAFFRA,68,61,36,33,22,6,11,19,8,0
14923,MANOR LAKES P-12 COLLEGE,G,WYNDHAM VALE,123,86,59,20,17,24,7,25,5,2
01100,MANSFIELD SECONDARY COLLEGE,G,MANSFIELD (VIC.),50,45,30,20,27,10,7,37,0,0
01405,MARANATHA CHRISTIAN SCHOOL,I,ENDEAVOUR HILLS,71,55,38,63,3,11,8,8,8,0
01268,MARCELLIN COLLEGE,C,BULLEEN,204,174,112,63,10,7,10,8,2,0
01105,MARIAN COLLEGE,C,ARARAT,63,63,37,24,30,11,8,27,0,0
01178,MARIAN COLLEGE,C,MYRTLEFORD,24,24,17,12,18,12,18,41,0,0
01734,MARIAN COLLEGE,C,SUNSHINE WEST,117,78,50,66,4,14,8,6,2,0
01429,MARIBYRNONG SECONDARY COLLEGE,G,MARIBYRNONG,162,162,110,57,11,14,5,13,1,0
01494,MARIST-SION COLLEGE,C,WARRAGUL,121,112,66,50,23,6,8,6,6,2
01788,MARY MACKILLOP CATHOLIC REGIONAL COLLEGE,C,LEONGATHA,75,57,37,51,19,8,14,3,5,0
