"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Holmesglen Institute of TAFE",NA,"MOORABBIN","74","22","307","340","-","-","-",2014,"Holmesglen Institute of TAFE   MOORABBIN"
"Hopetoun P-12 College",NA,"HOPETOUN","28","21","13","6","57.9","30","0",2014,"Hopetoun P-12 College   HOPETOUN"
"Hoppers Crossing Sec College",NA,"HOPPERS CROSSING","188","47","131","29","70.5","27","1.8",2014,"Hoppers Crossing Sec College   HOPPERS CROSSING"
"Horsham College",NA,"HORSHAM","144","46","172","43","76.099999999999994","28","4.6",2014,"Horsham College   HORSHAM"
"Hume Anglican Grammar",NA,"MICKLEHAM","60","23","-","-","95","28","1.4",2014,"Hume Anglican Grammar   MICKLEHAM"
"Hume Central Sec College",NA,"BROADMEADOWS","134","37","81","38","96.1","25","2.9",2014,"Hume Central Sec College   BROADMEADOWS"
"Huntingtower School",NA,"MOUNT WAVERLEY","137","35","4","-","98.6","36","27.0",2014,"Huntingtower School   MOUNT WAVERLEY"
"Ilim College",NA,"BROADMEADOWS","113","28","26","29","98","29","4.9",2014,"Ilim College   BROADMEADOWS"
"Ivanhoe Girls' Grammar School",NA,"IVANHOE","278","44","123","-","98.3","34","19.7",2014,"Ivanhoe Girls' Grammar School   IVANHOE"
"Ivanhoe Grammar School",NA,"IVANHOE","316","44","6","-","93.1","34","17.5",2014,"Ivanhoe Grammar School   IVANHOE"
"Ivanhoe Grammar School",NA,"MERNDA","87","30","< 4","-","95.8","34","12.9",2014,"Ivanhoe Grammar School   MERNDA"
"John Fawkner College",NA,"FAWKNER","74","22","120","67","88.2","26","1.4",2014,"John Fawkner College   FAWKNER"
"John Monash Science School",NA,"CLAYTON","418","46","13","-","99.5","35","19.9",2014,"John Monash Science School   CLAYTON"
"John Paul College",NA,"FRANKSTON","194","47","97","40","96","29","5.6",2014,"John Paul College   FRANKSTON"
"Kambrya College",NA,"BERWICK","200","66","199","66","82.1","30","2.6",2014,"Kambrya College   BERWICK"
"Kangan Institute of TAFE",NA,"BROADMEADOWS","140","44","259","229","29.3","20","0.6",2014,"Kangan Institute of TAFE   BROADMEADOWS"
"Kaniva P-12 College",NA,"KANIVA","24","23","16","37","25","28","4.3",2014,"Kaniva P-12 College   KANIVA"
"Kardinia Internatl College",NA,"BELL POST HILL","261","54","31","-","89.8","33","12.2",2014,"Kardinia Internatl College   BELL POST HILL"
"Keilor Downs College",NA,"KEILOR DOWNS","267","63","161","78","88.1","29","6.1",2014,"Keilor Downs College   KEILOR DOWNS"
"Kensington Comm High School",NA,"KENSINGTON","23","14","91","31","-","-","-",2014,"Kensington Comm High School   KENSINGTON"
"Kerang Technical High School",NA,"KERANG","85","26","71","-","58.7","25","4.8",2014,"Kerang Technical High School   KERANG"
"Kew High School",NA,"KEW EAST","288","49","65","-","87.2","32","9.7",2014,"Kew High School   KEW EAST"
"Keysborough SC - Acacia",NA,"KEYSBOROUGH","111","39","47","31","77.3","25","2.7",2014,"Keysborough SC - Acacia   KEYSBOROUGH"
"Keysborough SC - Banksia",NA,"SPRINGVALE SOUTH","175","49","59","32","85.2","27","2.2",2014,"Keysborough SC - Banksia   SPRINGVALE SOUTH"
"Kilbreda College",NA,"MENTONE","248","43","107","13","92","31","7.0",2014,"Kilbreda College   MENTONE"
"Killester College",NA,"SPRINGVALE","186","47","52","11","97.5","29","5.3",2014,"Killester College   SPRINGVALE"
"Kilvington Grammar School",NA,"ORMOND","94","31","6","-","100","33","12.2",2014,"Kilvington Grammar School   ORMOND"
"Kings College",NA,"WARRNAMBOOL","43","24","11","-","77.3","29","2.6",2014,"Kings College   WARRNAMBOOL"
"Kingswood College",NA,"BOX HILL","126","32","92","-","90","32","8.9",2014,"Kingswood College   BOX HILL"
"Kolbe Catholic College",NA,"GREENVALE","139","41","212","54","98.2","25","0.7",2014,"Kolbe Catholic College   GREENVALE"
"Koo Wee Rup Sec College",NA,"KOO WEE RUP","178","49","164","100","69.3","30","9.6",2014,"Koo Wee Rup Sec College   KOO WEE RUP"
"Koonung Secondary College",NA,"MONT ALBERT NORTH","320","50","60","-","91.8","32","8.3",2014,"Koonung Secondary College   MONT ALBERT NORTH"
"Korowa Anglican Girls' School",NA,"GLEN IRIS","129","35","6","-","100","35","24.1",2014,"Korowa Anglican Girls' School   GLEN IRIS"
"Korumburra Sec College",NA,"KORUMBURRA","102","34","44","50","88.4","29","4.3",2014,"Korumburra Sec College   KORUMBURRA"
"Kurnai College",NA,"CHURCHILL","288","68","253","172","59.4","28","2.0",2014,"Kurnai College   CHURCHILL"
"Kurunjang Secondary College",NA,"MELTON","85","32","82","51","68","24","0.5",2014,"Kurunjang Secondary College   MELTON"
"Kyabram P-12 College",NA,"KYABRAM","145","48","125","37","70.2","27","3.3",2014,"Kyabram P-12 College   KYABRAM"
"Kyneton Secondary College",NA,"KYNETON","114","28","92","34","70.900000000000006","27","2.8",2014,"Kyneton Secondary College   KYNETON"
"Lake Bolac College","*","LAKE BOLAC","6","5","4","-","-","33","0",2014,"Lake Bolac College   LAKE BOLAC"
"Lakes Entrance Sec College",NA,"LAKES ENTRANCE","49","19","31","16","75","27","1.1",2014,"Lakes Entrance Sec College   LAKES ENTRANCE"
"Lakeside Lutheran College",NA,"PAKENHAM","31","16","< 4","-","100","27","0",2014,"Lakeside Lutheran College   PAKENHAM"
"Lakeview Senior College",NA,"CAROLINE SPRINGS","445","59","265","67","96","27","2.7",2014,"Lakeview Senior College   CAROLINE SPRINGS"
"Lalor North Sec College",NA,"EPPING","54","32","113","32","82.5","23","1.0",2014,"Lalor North Sec College   EPPING"
"Lalor Secondary College",NA,"LALOR","235","56","87","49","88.2","27","2.2",2014,"Lalor Secondary College   LALOR"
"Lara Secondary College",NA,"LARA","146","56","106","74","88.2","27","0.5",2014,"Lara Secondary College   LARA"
"Lauriston Girls School",NA,"ARMADALE","111","31","11","-","97.9","37","29.8",2014,"Lauriston Girls School   ARMADALE"
"Lavalla Catholic College",NA,"TRARALGON","261","55","201","56","82.4","29","4.0",2014,"Lavalla Catholic College   TRARALGON"
"Lavers Hill P12 College","*","LAVERS HILL","8","9","25","4","-","27","0",2014,"Lavers Hill P12 College   LAVERS HILL"
"Laverton P-12 College",NA,"LAVERTON","59","33","101","39","85.7","21","0",2014,"Laverton P-12 College   LAVERTON"
"Leibler Yavneh College",NA,"ELSTERNWICK","90","34","19","-","97.7","37","33.5",2014,"Leibler Yavneh College   ELSTERNWICK"
"Leongatha Secondary College",NA,"LEONGATHA","131","53","61","35","80.7","27","1.3",2014,"Leongatha Secondary College   LEONGATHA"
"Lighthouse Christian College",NA,"KEYSBOROUGH","46","22","12","-","71.400000000000006","29","5.5",2014,"Lighthouse Christian College   KEYSBOROUGH"
"Lighthouse Christian College",NA,"CRANBOURNE","45","14","-","-","95.7","27","1.8",2014,"Lighthouse Christian College   CRANBOURNE"
"Lilydale Heights College",NA,"LILYDALE","112","40","68","36","85.9","24","0.8",2014,"Lilydale Heights College   LILYDALE"
"Lilydale High School",NA,"LILYDALE","343","56","217","< 4","58.1","28","3.5",2014,"Lilydale High School   LILYDALE"
"Loreto College",NA,"BALLARAT","191","50","85","13","94","31","6.1",2014,"Loreto College   BALLARAT"
"Loreto Mandeville Hall",NA,"TOORAK","210","31","4","-","99","35","28.9",2014,"Loreto Mandeville Hall   TOORAK"
"Lorne-Aireys Inlet P-12 Coll","*","LORNE","20","18","14","7","57.1","25","2.6",2014,"Lorne-Aireys Inlet P-12 Coll   LORNE"
"Lowanna College",NA,"NEWBOROUGH","164","45","158","114","65.099999999999994","25","1.4",2014,"Lowanna College   NEWBOROUGH"
"Lowther Hall Anglican GS",NA,"ESSENDON","193","31","168","-","100","34","19.1",2014,"Lowther Hall Anglican GS   ESSENDON"
"Loyola College",NA,"WATSONIA","246","49","87","16","92.1","31","6.2",2014,"Loyola College   WATSONIA"
"Luther College",NA,"CROYDON HILLS","329","42","58","-","91.8","33","12.4",2014,"Luther College   CROYDON HILLS"
"Lynall Hall Community School",NA,"RICHMOND","43","13","45","-","88.9","18","0",2014,"Lynall Hall Community School   RICHMOND"
"Lyndale Secondary College",NA,"DANDENONG NORTH","215","61","159","81","100","26","1.2",2014,"Lyndale Secondary College   DANDENONG NORTH"
"Lyndhurst Secondary College",NA,"CRANBOURNE","157","47","123","200","50.6","24","1.4",2014,"Lyndhurst Secondary College   CRANBOURNE"
"MacKillop Catholic Reg College",NA,"WERRIBEE","270","59","266","76","90.1","31","6.1",2014,"MacKillop Catholic Reg College   WERRIBEE"
"Macleod College",NA,"MACLEOD","120","50","34","21","86.3","28","6.0",2014,"Macleod College   MACLEOD"
"Mac.Robertson Girls' High Schl",NA,"MELBOURNE","519","51","42","-","99.6","38","36.6",2014,"Mac.Robertson Girls' High Schl   MELBOURNE"
"Maffra Secondary College",NA,"MAFFRA","149","34","82","35","95.5","27","2.4",2014,"Maffra Secondary College   MAFFRA"
"Mallacoota P-12 College","*","MALLACOOTA","16","12","17","-","75","20","0",2014,"Mallacoota P-12 College   MALLACOOTA"
"Manangatang P-12 College",NA,"MANANGATANG","21","28","6","6","90.9","28","3.1",2014,"Manangatang P-12 College   MANANGATANG"
"Manor Lakes P-12 College",NA,"WYNDHAM VALE","170","50","164","47","78.900000000000006","24","0.4",2014,"Manor Lakes P-12 College   WYNDHAM VALE"
"Mansfield Secondary College",NA,"MANSFIELD","103","46","101","17","65.900000000000006","30","6.3",2014,"Mansfield Secondary College   MANSFIELD"
"Maranatha Christian School",NA,"ENDEAVOUR HILLS","160","41","24","8","80.5","30","6.6",2014,"Maranatha Christian School   ENDEAVOUR HILLS"
"Marcellin College",NA,"BULLEEN","280","48","88","23","95.2","32","10.1",2014,"Marcellin College   BULLEEN"
"Marian College Ararat",NA,"ARARAT","104","29","57","117","66.7","26","1.7",2014,"Marian College Ararat   ARARAT"
"Marian College Myrtleford",NA,"MYRTLEFORD","68","25","60","16","87.5","28","4.7",2014,"Marian College Myrtleford   MYRTLEFORD"
"Marian College Sunshine",NA,"SUNSHINE WEST","159","41","68","35","91.1","29","2.2",2014,"Marian College Sunshine   SUNSHINE WEST"
"Maribyrnong Sec College",NA,"MARIBYRNONG","208","35","46","-","88.3","29","4.7",2014,"Maribyrnong Sec College   MARIBYRNONG"
"Marist Sion College",NA,"WARRAGUL","181","34","133","29","93","31","7.9",2014,"Marist Sion College   WARRAGUL"
"Mary MacKillop Catholic College",NA,"LEONGATHA","123","30","116","16","78","28","2.2",2014,"Mary MacKillop Catholic College   LEONGATHA"
"Maryborough Education Centre",NA,"MARYBOROUGH","148","35","175","44","55.4","22","1.8",2014,"Maryborough Education Centre   MARYBOROUGH"
"Marymede Catholic College",NA,"SOUTH MORANG","89","37","29","26","95.6","30","4.8",2014,"Marymede Catholic College   SOUTH MORANG"
"Mater Christi College",NA,"BELGRAVE","240","45","110","19","92.5","31","8.3",2014,"Mater Christi College   BELGRAVE"
"Matthew Flinders Girls' SC",NA,"GEELONG","204","56","98","48","89.7","29","2.1",2014,"Matthew Flinders Girls' SC   GEELONG"
"Mazenod College",NA,"MULGRAVE","344","44","141","13","91.2","32","9.8",2014,"Mazenod College   MULGRAVE"
"McClelland Secondary College",NA,"FRANKSTON","126","47","147","111","70","28","1.9",2014,"McClelland Secondary College   FRANKSTON"
"McGuire College",NA,"SHEPPARTON","110","39","82","33","58.2","25","1.3",2014,"McGuire College   SHEPPARTON"
"McKinnon Secondary College",NA,"MCKINNON","449","54","110","20","91","33","16.6",2014,"McKinnon Secondary College   MCKINNON"
"Melba College",NA,"CROYDON","175","50","99","58","80","25","1.5",2014,"Melba College   CROYDON"
"Melbourne Girls Grammar",NA,"SOUTH YARRA","187","37","5","-","100","36","25.4",2014,"Melbourne Girls Grammar   SOUTH YARRA"
"Melbourne Girls' College",NA,"RICHMOND","320","49","30","-","97.5","33","15.6",2014,"Melbourne Girls' College   RICHMOND"
"Melbourne Grammar School",NA,"MELBOURNE","393","46","7","-","99","35","24.2",2014,"Melbourne Grammar School   MELBOURNE"
"Melbourne High School",NA,"SOUTH YARRA","698","53","46","-","96.7","37","35.5",2014,"Melbourne High School   SOUTH YARRA"
"Melbourne Rudolf Steiner Schl",NA,"WARRANWOOD","53","18","< 4","-","97.2","31","4.3",2014,"Melbourne Rudolf Steiner Schl   WARRANWOOD"
"Melbourne Senior Sec College",NA,"MELBOURNE","41","15","-","-","64.900000000000006","21","1.4",2014,"Melbourne Senior Sec College   MELBOURNE"
"Melton Christian College",NA,"MELTON SOUTH","35","32","9","6","95","29","3.9",2014,"Melton Christian College   MELTON SOUTH"
"Melton Secondary College",NA,"MELTON","134","44","92","60","71.2","27","1.7",2014,"Melton Secondary College   MELTON"
"Mentone Girls' Grammar School",NA,"MENTONE","130","33","19","-","96.8","34","25.0",2014,"Mentone Girls' Grammar School   MENTONE"
"Mentone Girls' Sec College",NA,"MENTONE","296","44","62","< 4","96","32","7.4",2014,"Mentone Girls' Sec College   MENTONE"
"Mentone Grammar School",NA,"MENTONE","220","41","27","-","96.7","33","15.7",2014,"Mentone Grammar School   MENTONE"
"Mercy College",NA,"COBURG","145","44","30","14","100","28","2.1",2014,"Mercy College   COBURG"
"Mercy Regional College",NA,"CAMPERDOWN","146","33","65","12","92.6","30","3.4",2014,"Mercy Regional College   CAMPERDOWN"
"Merinda Park Learning Centre","*","CRANBOURNE","< 4","2","44","52","-","I/D","I/D",2014,"Merinda Park Learning Centre   CRANBOURNE"
"Methodist Ladies College",NA,"KEW","396","50","107","-","98","35","23.9",2014,"Methodist Ladies College   KEW"
"Mildura Senior College",NA,"MILDURA","553","67","437","197","58.1","28","2.2",2014,"Mildura Senior College   MILDURA"
"Mill Park Secondary College",NA,"EPPING","384","73","215","69","86.7","26","3.0",2014,"Mill Park Secondary College   EPPING"
"Minaret College",NA,"SPRINGVALE","142","24","-","-","100","28","6.2",2014,"Minaret College   SPRINGVALE"
"Mirboo North Sec College",NA,"MIRBOO NORTH","83","30","37","23","85","29","2.6",2014,"Mirboo North Sec College   MIRBOO NORTH"
"Monbulk College",NA,"MONBULK","93","34","74","54","86.8","26","1.7",2014,"Monbulk College   MONBULK"
"Monivae College",NA,"HAMILTON","142","44","82","22","74","30","5.9",2014,"Monivae College   HAMILTON"
"Monterey Secondary College",NA,"FRANKSTON NORTH","57","19","81","34","60","25","0",2014,"Monterey Secondary College   FRANKSTON NORTH"
"Montmorency Sec College",NA,"MONTMORENCY","144","36","45","38","89.9","29","4.3",2014,"Montmorency Sec College   MONTMORENCY"
"Mooroolbark College",NA,"MOOROOLBARK","207","54","140","81","90.6","29","4.3",2014,"Mooroolbark College   MOOROOLBARK"
"Mooroopna Secondary College",NA,"MOOROOPNA","81","42","75","35","75","25","0.6",2014,"Mooroopna Secondary College   MOOROOPNA"
"Mordialloc College",NA,"MORDIALLOC","113","36","56","34","81.400000000000006","28","1.3",2014,"Mordialloc College   MORDIALLOC"
"Mornington Secondary College",NA,"MORNINGTON","248","64","112","90","76.099999999999994","29","4.0",2014,"Mornington Secondary College   MORNINGTON"
"Mortlake College",NA,"MORTLAKE","21","19","11","6","63.6","27","4.8",2014,"Mortlake College   MORTLAKE"
"Mount Alexander 7-12 Coll",NA,"FLEMINGTON","49","20","-","6","63","25","1.9",2014,"Mount Alexander 7-12 Coll   FLEMINGTON"
"Mount Beauty Sec College",NA,"MOUNT BEAUTY","51","32","39","< 4","68.2","28","3.8",2014,"Mount Beauty Sec College   MOUNT BEAUTY"
"Mount Clear College",NA,"MOUNT CLEAR","222","51","285","57","54.5","27","2.1",2014,"Mount Clear College   MOUNT CLEAR"
"Mount Eliza Sec College",NA,"MOUNT ELIZA","156","68","142","67","92","30","5.4",2014,"Mount Eliza Sec College   MOUNT ELIZA"
"Mount Erin College",NA,"FRANKSTON","209","37","167","117","78.599999999999994","29","3.6",2014,"Mount Erin College   FRANKSTON"
"Mount Evelyn Christian School",NA,"MOUNT EVELYN","105","38","101","53","81.2","30","5.7",2014,"Mount Evelyn Christian School   MOUNT EVELYN"
"Mount Lilydale Mercy College",NA,"LILYDALE","299","54","197","49","88.4","30","6.7",2014,"Mount Lilydale Mercy College   LILYDALE"
"Mount Ridley P-12 College",NA,"CRAIGIEBURN","36","12","104","34","-","29","10.7",2014,"Mount Ridley P-12 College   CRAIGIEBURN"
"Mount Scopus Memorial College",NA,"BURWOOD","276","41","152","-","99.2","38","40.1",2014,"Mount Scopus Memorial College   BURWOOD"
"Mount St Joseph Girls' College",NA,"ALTONA","171","47","48","29","100","31","5.4",2014,"Mount St Joseph Girls' College   ALTONA"
"Mount Waverley Sec College",NA,"MOUNT WAVERLEY","406","52","30","-","96","31","11.5",2014,"Mount Waverley Sec College   MOUNT WAVERLEY"
"Mountain District Christian Schl",NA,"MONBULK","29","18","12","-","81.2","26","7.1",2014,"Mountain District Christian Schl   MONBULK"
"Mountain District Women's Co-Op",NA,"FERNTREE GULLY","26","9","44","50","55.6","23","0",2014,"Mountain District Women's Co-Op   FERNTREE GULLY"
"Mt Hira College",NA,"KEYSBOROUGH","39","11","-","-","93.3","26","1.0",2014,"Mt Hira College   KEYSBOROUGH"
"Mullauna College",NA,"MITCHAM","89","38","12","-","89.4","30","6.3",2014,"Mullauna College   MITCHAM"
"Murrayville Community College",NA,"MURRAYVILLE","40","25","39","< 4","75","26","0",2014,"Murrayville Community College   MURRAYVILLE"
"Murtoa P-12 College",NA,"MURTOA","30","23","19","11","83.3","30","9.0",2014,"Murtoa P-12 College   MURTOA"
"Myrtleford P-12 College",NA,"MYRTLEFORD","25","19","16","23","72.7","26","3.4",2014,"Myrtleford P-12 College   MYRTLEFORD"
"Nagle College",NA,"BAIRNSDALE","199","40","179","40","70.400000000000006","29","4.1",2014,"Nagle College   BAIRNSDALE"
"Narre Community Learn Centre","*","NARRE WARREN","10","10","82","53","-","-","-",2014,"Narre Community Learn Centre   NARRE WARREN"
"Narre Warren Sth P-12 College",NA,"NARRE WARREN SOUTH","247","55","243","210","96.9","31","5.4",2014,"Narre Warren Sth P-12 College   NARRE WARREN SOUTH"
"Nathalia Secondary College",NA,"NATHALIA","23","23","25","10","87.5","31","4.5",2014,"Nathalia Secondary College   NATHALIA"
"Nazareth College",NA,"NOBLE PARK NORTH","193","56","52","29","96.6","29","3.9",2014,"Nazareth College   NOBLE PARK NORTH"
"Neerim District Sec College",NA,"NEERIM SOUTH","30","19","29","12","60","26","1.2",2014,"Neerim District Sec College   NEERIM SOUTH"
"Newcomb Secondary College",NA,"NEWCOMB","78","42","119","39","73.3","25","0.9",2014,"Newcomb Secondary College   NEWCOMB"
"Newhaven College",NA,"NEWHAVEN","110","35","18","-","89.6","30","6.1",2014,"Newhaven College   NEWHAVEN"
"Nhill College",NA,"NHILL","40","27","30","15","57.1","27","3.4",2014,"Nhill College   NHILL"
"Noble Park Secondary College",NA,"NOBLE PARK","113","33","56","38","73.400000000000006","25","0.3",2014,"Noble Park Secondary College   NOBLE PARK"
"North Geelong Sec College",NA,"GEELONG NORTH","88","41","123","85","77.8","24","0.4",2014,"North Geelong Sec College   GEELONG NORTH"
"Northcote High School",NA,"NORTHCOTE","477","58","91","-","89.8","31","9.0",2014,"Northcote High School   NORTHCOTE"
"Northern Bay P-12 College",NA,"CORIO","66","45","109","100","50","22","0",2014,"Northern Bay P-12 College   CORIO"
"Northern College of Arts & Tech",NA,"PRESTON EAST","275","45","344","183","24.5","24","2.9",2014,"Northern College of Arts & Tech   PRESTON EAST"
"Northern Melbourne Inst of TAFE",NA,"PRESTON","88","20","248","244","-","-","-",2014,"Northern Melbourne Inst of TAFE   PRESTON"
